image,noise_ratio,method,PSNR,SSIM,IEF
kodim09,0.7,DBRAMF W5×5,26.357189158609287,0.842855368993042,82.4633351251748
kodim09,0.7,DBRAMF W7×7,26.357189158609287,0.842855368993042,82.4633351251748
kodim09,0.8,DBRAMF W3×3,24.108653466730185,0.7708677325900524,56.120877934382015
kodim09,0.8,DBRAMF W5×5,24.109356565230563,0.7708625461923333,56.12996432644734
kodim09,0.8,DBRAMF W7×7,24.109356565230563,0.7708625461923333,56.12996432644734
kodim09,0.9,DBRAMF W3×3,21.095727052329,0.6481070948106208,31.562396130195733
kodim09,0.9,DBRAMF W5×5,21.095727052329,0.6481070948106208,31.562396130195733
kodim09,0.9,DBRAMF W7×7,21.095727052329,0.6481070948106208,31.562396130195733
kodim10,0.1,DBRAMF W3×3,33.580843506882346,0.988377191098657,62.642556743612296
kodim10,0.1,DBRAMF W5×5,33.580843506882346,0.988377191098657,62.642556743612296
kodim10,0.1,DBRAMF W7×7,33.580843506882346,0.988377191098657,62.642556743612296
kodim10,0.2,DBRAMF W3×3,32.40576737793755,0.9764519939414859,95.3731237949443
kodim10,0.2,DBRAMF W5×5,32.40576737793755,0.9764519939414859,95.3731237949443
kodim10,0.2,DBRAMF W7×7,32.40576737793755,0.9764519939414859,95.3731237949443
kodim10,0.3,DBRAMF W3×3,31.127792834829833,0.9607024049970303,106.87699399492455
kodim10,0.3,DBRAMF W5×5,31.127964607965737,0.9607032260289282,106.8812213015668
kodim10,0.3,DBRAMF W7×7,31.127964607965737,0.9607032260289282,106.8812213015668
kodim10,0.4,DBRAMF W3×3,30.004496870814073,0.9406544070982726,110.1146477217556
kodim10,0.4,DBRAMF W5×5,30.00462949529294,0.9406552092463975,110.11801044483106
kodim10,0.4,DBRAMF W7×7,30.00462949529294,0.9406552092463975,110.11801044483106
kodim10,0.5,DBRAMF W3×3,28.531635107939287,0.9125836259934162,98.06037315443429
kodim10,0.5,DBRAMF W5×5,28.531729587008677,0.9125844280023513,98.06250644278141
kodim10,0.5,DBRAMF W7×7,28.531729587008677,0.9125844280023513,98.06250644278141
kodim10,0.6,DBRAMF W3×3,27.197031773568774,0.8738706010890455,86.56866602857608
kodim10,0.6,DBRAMF W5×5,27.197101255842785,0.8738714026213984,86.57005104177367
kodim10,0.6,DBRAMF W7×7,27.197101255842785,0.8738714026213984,86.57005104177367
kodim10,0.7,DBRAMF W3×3,25.69239651742473,0.8176622955507814,71.30717638822006
kodim10,0.7,DBRAMF W5×5,25.692503611808753,0.8176656645629845,71.30893480160265
kodim10,0.7,DBRAMF W7×7,25.692503611808753,0.8176656645629845,71.30893480160265
kodim10,0.8,DBRAMF W3×3,23.735078869758834,0.7343148422138995,51.91953336206749
kodim10,0.8,DBRAMF W5×5,23.735364116125833,0.7343257987624056,51.92294356994587
kodim10,0.8,DBRAMF W7×7,23.735364116125833,0.7343257987624056,51.92294356994587
kodim10,0.9,DBRAMF W3×3,20.744874916415835,0.5977341558349926,29.30793625492836
